,photon_energy,scattering_coherent,scattering_incoherent,photoelectric_absorption,pair_production_nuclear_field,pair_production_electron_field,total_attenuation_with_coherent_scatt,total_attenuation_without_coherent_scatt
0,0.001,13.57,0.004526,6613.0,0.0,0.0,6627.0,6613.0
1,0.0010220000000000001,13.54,0.004659,6360.0,0.0,0.0,6373.0,6360.0
2,0.001045,13.52,0.004794,6115.0,0.0,0.0,6129.0,6115.0
3,0.001045,13.52,0.004794,6507.0,0.0,0.0,6521.0,6507.0
4,0.001153,13.39,0.0054280000000000005,5418.0,0.0,0.0,5432.0,5418.0
5,0.001273,13.25,0.0061200000000000004,4514.0,0.0,0.0,4527.0,4514.0
6,0.001273,13.25,0.0061200000000000004,4577.0,0.0,0.0,4590.0,4577.0
7,0.001354,13.14,0.0065969999999999996,4050.0,0.0,0.0,4063.0,4050.0
8,0.001441,13.03,0.007107,3585.0,0.0,0.0,3598.0,3585.0
9,0.001441,13.03,0.007107,3656.0,0.0,0.0,3669.0,3656.0
10,0.0015,12.95,0.007453,3367.0,0.0,0.0,3380.0,3367.0
11,0.002,12.3,0.01034,1853.0,0.0,0.0,1865.0,1853.0
12,0.003,11.02,0.01595,758.2,0.0,0.0,769.3,758.3
13,0.0035520000000000005,10.36,0.01889,515.4,0.0,0.0,525.7,515.4
14,0.0035520000000000005,10.36,0.01889,1255.0,0.0,0.0,1266.0,1255.0
15,0.003639,10.26,0.01933,1176.0,0.0,0.0,1186.0,1176.0
16,0.003728,10.16,0.019790000000000002,1102.0,0.0,0.0,1112.0,1102.0
17,0.003728,10.16,0.019790000000000002,1572.0,0.0,0.0,1582.0,1572.0
18,0.004,9.854,0.021159999999999998,1319.0,0.0,0.0,1329.0,1319.0
19,0.004303,9.531,0.02264,1101.0,0.0,0.0,1110.0,1101.0
20,0.004303,9.531,0.02264,1282.0,0.0,0.0,1292.0,1282.0
21,0.005,8.84,0.02588,880.2,0.0,0.0,889.1,880.2
22,0.005182,8.67,0.02667,803.0,0.0,0.0,811.7,803.0
23,0.005182,8.67,0.02667,852.4,0.0,0.0,861.1,852.4
24,0.005362,8.509,0.02744,783.3,0.0,0.0,791.9,783.4
26,0.005548,8.346,0.02823,750.7,0.0,0.0,759.0,750.7
25,0.005548,8.346,0.02823,719.8,0.0,0.0,728.2,719.8
27,0.006,7.97,0.030080000000000003,620.4,0.0,0.0,628.4,620.4
28,0.008,6.568,0.037469999999999996,304.1,0.0,0.0,310.7,304.1
29,0.01,5.497999999999999,0.04397,173.6,0.0,0.0,179.1,173.6
30,0.015,3.734,0.05705,61.48,0.0,0.0,65.27,61.54
31,0.017169999999999998,3.218,0.06143,43.34,0.0,0.0,46.62,43.4
32,0.017169999999999998,3.218,0.06143,103.7,0.0,0.0,107.0,103.7
33,0.02,2.6889999999999996,0.06626,68.31,0.0,0.0,71.07,68.38
34,0.02095,2.54,0.0677,60.39,0.0,0.0,63.0,60.46
35,0.02095,2.54,0.0677,85.77,0.0,0.0,88.37,85.83
36,0.02135,2.4819999999999998,0.0683,81.66,0.0,0.0,84.21,81.72
38,0.021759999999999998,2.425,0.06888999999999999,89.71,0.0,0.0,92.21,89.78
37,0.021759999999999998,2.425,0.06888999999999999,77.75,0.0,0.0,80.24,77.82
39,0.03,1.585,0.07833,39.62,0.0,0.0,41.28,39.7
40,0.04,1.065,0.08577,18.68,0.0,0.0,19.83,18.76
41,0.05,0.7681,0.09035,10.35,0.0,0.0,11.21,10.44
42,0.06,0.5781,0.09305,6.3629999999999995,0.0,0.0,7.034,6.456
43,0.08,0.3631,0.09518,2.937,0.0,0.0,3.3960000000000004,3.033
44,0.1,0.2519,0.0951,1.608,0.0,0.0,1.955,1.703
45,0.1156,0.1974,0.09434,1.0859999999999999,0.0,0.0,1.3780000000000001,1.18
46,0.1156,0.1974,0.09434,4.602,0.0,0.0,4.894,4.696000000000001
47,0.15,0.126,0.09158999999999999,2.373,0.0,0.0,2.591,2.465
48,0.2,0.07544,0.08682999999999999,1.136,0.0,0.0,1.298,1.2229999999999999
49,0.3,0.0362,0.07805,0.4051,0.0,0.0,0.5193,0.4831
50,0.4,0.02131,0.07107000000000001,0.1998,0.0,0.0,0.2922,0.2709
51,0.5,0.01402,0.06552999999999999,0.1181,0.0,0.0,0.1976,0.1836
52,0.6,0.00992,0.061,0.07808,0.0,0.0,0.149,0.1391
53,0.8,0.005713,0.05396,0.04192,0.0,0.0,0.1016,0.09589
54,1.0,0.0037090000000000005,0.0487,0.026539999999999998,0.0,0.0,0.07895,0.07524
55,1.022,0.0035549999999999996,0.0482,0.02543,0.0,0.0,0.07718,0.07362
56,1.25,0.0024,0.04367,0.01718,0.0004455,0.0,0.0637,0.0613
57,1.5,0.001679,0.03977,0.01222,0.002199,0.0,0.05587,0.054189999999999995
58,2.0,0.0009523,0.034,0.007379999999999999,0.006441,0.0,0.048780000000000004,0.04782
59,2.044,0.0009122999999999999,0.033569999999999996,0.007114,0.006801000000000001,0.0,0.0484,0.04749
60,3.0,0.0004263,0.026789999999999998,0.003846,0.01339,9.356e-06,0.044469999999999996,0.044039999999999996
61,4.0,0.0002405,0.022359999999999998,0.002509,0.01877,3.813e-05,0.04392,0.043680000000000004
62,5.0,0.0001541,0.01932,0.001835,0.02325,7.58e-05,0.04463,0.04448
63,6.0,0.0001071,0.01708,0.0014349999999999999,0.0271,0.0001161,0.04583,0.04572
64,7.0,7.873e-05,0.01535,0.001173,0.030510000000000002,0.00015619999999999997,0.04727,0.047189999999999996
65,8.0,6.029e-05,0.013969999999999998,0.0009895,0.033569999999999996,0.0001949,0.04879,0.04873
66,9.0,4.767e-05,0.01284,0.0008544000000000001,0.036410000000000005,0.0002319,0.05039,0.050339999999999996
67,10.0,3.861e-05,0.0119,0.0007509,0.03899,0.0002669,0.05195,0.051910000000000005
68,11.0,3.19e-05,0.0111,0.0006692,0.04142,0.00030010000000000003,0.053520000000000005,0.053489999999999996
69,12.0,2.682e-05,0.010409999999999999,0.0006032,0.04364,0.00033089999999999997,0.055020000000000006,0.05499
70,13.0,2.285e-05,0.009809,0.0005488,0.045739999999999996,0.00036030000000000003,0.056479999999999995,0.05646
71,14.0,1.971e-05,0.00928,0.0005032,0.04772,0.0003878,0.05791,0.05789
72,15.0,1.717e-05,0.008809,0.00046479999999999997,0.04956,0.00041419999999999993,0.05927,0.05925
73,16.0,1.509e-05,0.008389,0.0004314,0.05127999999999999,0.000439,0.06056,0.06054
74,18.0,1.192e-05,0.007668,0.00037719999999999995,0.0544,0.00048469999999999996,0.06294,0.06293
75,20.0,9.657000000000001e-06,0.007070999999999999,0.00033519999999999996,0.057179999999999995,0.0005265,0.06512000000000001,0.06511
76,22.0,7.982e-06,0.006568000000000001,0.0003013,0.05971,0.0005642,0.06715,0.06713999999999999
77,24.0,6.707e-06,0.006138,0.0002737,0.06201,0.0005989,0.06903,0.06902
78,26.0,5.715e-06,0.005763,0.00025069999999999997,0.06414,0.0006307,0.07078999999999999,0.07078
79,28.0,4.928e-06,0.005437,0.0002313,0.06606000000000001,0.0006603,0.07239,0.07239
80,30.0,4.293e-06,0.005149,0.00021459999999999998,0.06785,0.0006877000000000001,0.07391,0.07391
81,40.0,2.415e-06,0.004091,0.00015759999999999998,0.07512,0.0008,0.08017,0.08016000000000001
82,50.0,1.5459999999999999e-06,0.0034159999999999998,0.00012450000000000002,0.0805,0.0008842,0.08492999999999999,0.08492999999999999
83,60.0,1.073e-06,0.002942,0.00010290000000000001,0.0847,0.0009505000000000001,0.0887,0.0887
84,80.0,6.036999999999999e-07,0.002321,7.636e-05,0.09085,0.001049,0.0943,0.0943
85,100.0,3.863e-07,0.0019260000000000002,6.069e-05,0.0952,0.001121,0.09831000000000001,0.09831000000000001
86,150.0,1.717e-07,0.001372,4.01e-05,0.1021,0.0012369999999999998,0.1047,0.1047
87,200.0,9.66e-08,0.001076,2.996e-05,0.1061,0.001309,0.1085,0.1085
88,300.0,4.293e-08,0.0007622999999999999,1.988e-05,0.1109,0.001397,0.1131,0.1131
89,400.0,2.415e-08,0.0005971,1.488e-05,0.1136,0.001449,0.1157,0.1157
90,500.0,1.546e-08,0.0004944,1.188e-05,0.1154,0.001484,0.1174,0.1174
91,600.0,1.0729999999999999e-08,0.00042330000000000004,9.895e-06,0.1167,0.00151,0.1186,0.1186
92,800.0,6.0370000000000006e-09,0.0003304,7.412999999999999e-06,0.1184,0.001546,0.1203,0.1203
93,1000.0,3.8629999999999996e-09,0.000272,5.925e-06,0.1195,0.00157,0.1213,0.1213
94,1500.0,1.717e-09,0.0001899,3.947e-06,0.1211,0.001605,0.1229,0.1229
95,2000.0,9.66e-10,0.000147,2.96e-06,0.1219,0.001625,0.1237,0.1237
96,3000.0,4.293e-10,0.0001022,1.972e-06,0.1229,0.0016469999999999998,0.1246,0.1246
97,4000.0,2.415e-10,7.889e-05,1.4790000000000002e-06,0.1234,0.0016600000000000002,0.1252,0.1252
98,5000.0,1.546e-10,6.449e-05,1.183e-06,0.1237,0.001668,0.1255,0.1255
99,6000.0,1.073e-10,5.47e-05,9.854000000000001e-07,0.1239,0.001673,0.1257,0.1257
100,8000.0,6.037e-11,4.212e-05,7.39e-07,0.1242,0.0016809999999999998,0.126,0.126
101,10000.0,3.863e-11,3.441e-05,5.913000000000001e-07,0.1244,0.001685,0.1261,0.1261
102,15000.0,1.717e-11,2.377e-05,3.942e-07,0.1247,0.0016920000000000001,0.1264,0.1264
103,20000.0,9.66e-12,1.828e-05,2.955e-07,0.1248,0.001695,0.1265,0.1265
104,30000.0,4.293e-12,1.261e-05,1.97e-07,0.125,0.0016989999999999998,0.1267,0.1267
105,40000.0,2.415e-12,9.677e-06,1.4779999999999999e-07,0.125,0.0017010000000000003,0.1267,0.1267
106,50000.0,1.546e-12,7.881e-06,1.182e-07,0.1251,0.001703,0.1268,0.1268
107,60000.0,1.073e-12,6.661e-06,9.852e-08,0.1251,0.001703,0.1268,0.1268
108,80000.0,6.037e-13,5.108e-06,7.388e-08,0.1252,0.001704,0.1269,0.1269
109,100000.0,3.863e-13,4.157e-06,5.91e-08,0.1252,0.0017050000000000001,0.1269,0.1269
